,recall,precision,cagr_custom_q05,cagr_benchmark,custom_q05_meets_benchmark
24,{0.3},"{0.5, 0.61, 0.62, 0.52}",0.088,0.1446,False
25,{0.3},"{0.6, 0.61, 0.62}",0.1358,0.1446,False
26,{0.3},"{0.7, 0.71, 0.69}",0.1726,0.1446,True
27,{0.3},"{0.8, 0.81}",0.2117,0.1446,True
28,{0.3},"{0.9, 0.89}",0.2487,0.1446,True
29,{0.3},{1.0},0.2877,0.1446,True
30,{0.4},"{0.38, 0.67, 0.41, 0.4, 0.16, 0.43, 0.1, 0.69, 0.26, 0.59, 0.31}",-0.1165,0.1446,False
31,{0.4},"{0.38, 0.67, 0.2, 0.41, 0.4, 0.43, 0.69, 0.26, 0.59, 0.31}",-0.0678,0.1446,False
32,{0.4},"{0.38, 0.67, 0.3, 0.41, 0.4, 0.43, 0.69, 0.59, 0.31}",0.0092,0.1446,False
33,{0.4},"{0.4, 0.67, 0.43, 0.69, 0.41, 0.59}",0.049,0.1446,False
34,{0.4},"{0.5, 0.67, 0.69, 0.59}",0.0951,0.1446,False
35,{0.4},"{0.6, 0.67, 0.69}",0.1445,0.1446,False
36,{0.4},{0.7},0.1779,0.1446,True
37,{0.4},{0.8},0.2162,0.1446,True
38,{0.4},"{0.9, 0.91, 0.89}",0.2551,0.1446,True
39,{0.4},{1.0},0.2943,0.1446,True
40,{0.5},"{0.43, 0.72, 0.45, 0.46, 0.19, 0.49, 0.11, 0.73, 0.3, 0.64, 0.35, 0.1}",-0.1085,0.1446,False
41,{0.5},"{0.43, 0.72, 0.2, 0.45, 0.46, 0.49, 0.73, 0.3, 0.64, 0.35}",-0.0865,0.1446,False
42,{0.5},"{0.43, 0.72, 0.45, 0.3, 0.46, 0.49, 0.73, 0.64, 0.35}",-0.0024,0.1446,False
43,{0.5},"{0.43, 0.72, 0.45, 0.46, 0.4, 0.49, 0.73, 0.64}",0.0582,0.1446,False
44,{0.5},"{0.5, 0.72, 0.64, 0.73}",0.0871,0.1446,False
45,{0.5},"{0.6, 0.72, 0.64, 0.73}",0.1346,0.1446,False
46,{0.5},"{0.7, 0.72, 0.69, 0.73}",0.183,0.1446,True
47,{0.5},{0.8},0.2213,0.1446,True
48,{0.5},"{0.9, 0.89}",0.2593,0.1446,True
49,{0.5},{1.0},0.2994,0.1446,True
50,{0.6},"{0.48, 0.76, 0.51, 0.22, 0.5, 0.53, 0.13, 0.34, 0.68, 0.12, 0.4}",-0.123,0.1446,False
51,{0.6},"{0.48, 0.76, 0.51, 0.22, 0.5, 0.53, 0.2, 0.34, 0.68, 0.4}",-0.0824,0.1446,False
52,{0.6},"{0.48, 0.76, 0.51, 0.3, 0.5, 0.53, 0.34, 0.68, 0.4}",0.0078,0.1446,False
53,{0.6},"{0.48, 0.76, 0.51, 0.5, 0.4, 0.53, 0.68}",0.051,0.1446,False
54,{0.6},"{0.5, 0.76, 0.51, 0.53, 0.68}",0.0915,0.1446,False
55,{0.6},"{0.6, 0.76, 0.68}",0.1386,0.1446,False
56,{0.6},"{0.7, 0.76}",0.1885,0.1446,True
57,{0.6},{0.8},0.2246,0.1446,True
58,{0.6},"{0.9, 0.91}",0.2638,0.1446,True
59,{0.6},{1.0},0.3036,0.1446,True
60,{0.7},"{0.52, 0.78, 0.54, 0.55, 0.24, 0.57, 0.14, 0.79, 0.38, 0.72, 0.43}",-0.115,0.1446,False
61,{0.7},"{0.52, 0.78, 0.54, 0.55, 0.24, 0.57, 0.2, 0.79, 0.38, 0.72, 0.43}",-0.0773,0.1446,False
62,{0.7},"{0.52, 0.78, 0.54, 0.55, 0.3, 0.57, 0.79, 0.38, 0.72, 0.43}",-0.0218,0.1446,False
63,{0.7},"{0.52, 0.78, 0.54, 0.55, 0.4, 0.57, 0.79, 0.72, 0.43}",0.0389,0.1446,False
64,{0.7},"{0.52, 0.78, 0.54, 0.55, 0.5, 0.57, 0.79, 0.72}",0.0977,0.1446,False
65,{0.7},"{0.6, 0.78, 0.79, 0.72}",0.13,0.1446,False
66,{0.7},"{0.7, 0.78, 0.79, 0.72}",0.1935,0.1446,True
67,{0.7},"{0.8, 0.81}",0.2274,0.1446,True
68,{0.7},{0.9},0.2675,0.1446,True
69,{0.7},{1.0},0.3073,0.1446,True
70,{0.8},"{0.55, 0.8, 0.58, 0.57, 0.27, 0.6, 0.16, 0.81, 0.41, 0.74, 0.47}",-0.1072,0.1446,False
71,{0.8},"{0.55, 0.8, 0.58, 0.57, 0.27, 0.6, 0.2, 0.81, 0.41, 0.74, 0.47}",-0.0727,0.1446,False
72,{0.8},"{0.55, 0.8, 0.58, 0.3, 0.57, 0.6, 0.81, 0.41, 0.74, 0.47}",-0.0434,0.1446,False
73,{0.8},"{0.55, 0.8, 0.58, 0.57, 0.4, 0.6, 0.81, 0.41, 0.74, 0.47}",0.0458,0.1446,False
74,{0.8},"{0.55, 0.8, 0.58, 0.57, 0.5, 0.6, 0.81, 0.74}",0.0967,0.1446,False
75,{0.8},"{0.6, 0.8, 0.81, 0.74}",0.1324,0.1446,False
76,{0.8},"{0.7, 0.8, 0.81, 0.74}",0.1809,0.1446,True
77,{0.8},"{0.8, 0.81}",0.2312,0.1446,True
78,{0.8},{0.9},0.2705,0.1446,True
79,{0.8},{1.0},0.3111,0.1446,True
80,{0.9},"{0.58, 0.82, 0.6, 0.29, 0.61, 0.63, 0.18, 0.83, 0.44, 0.76, 0.17, 0.5}",-0.0994,0.1446,False
81,{0.9},"{0.58, 0.82, 0.6, 0.29, 0.61, 0.63, 0.2, 0.83, 0.44, 0.76, 0.5}",-0.0681,0.1446,False
82,{0.9},"{0.58, 0.82, 0.6, 0.3, 0.61, 0.63, 0.83, 0.44, 0.76, 0.5}",-0.0414,0.1446,False
83,{0.9},"{0.58, 0.82, 0.6, 0.4, 0.61, 0.63, 0.83, 0.44, 0.76, 0.5}",0.0535,0.1446,False
84,{0.9},"{0.58, 0.82, 0.6, 0.5, 0.61, 0.63, 0.83, 0.76}",0.0955,0.1446,False
85,{0.9},"{0.6, 0.82, 0.63, 0.83, 0.61, 0.76}",0.1361,0.1446,False
86,{0.9},"{0.7, 0.82, 0.76, 0.83}",0.1842,0.1446,True
87,{0.9},"{0.8, 0.82, 0.83}",0.2348,0.1446,True
88,{0.9},{0.9},0.2734,0.1446,True
89,{0.9},{1.0},0.315,0.1446,True
90,{1.0},"{0.6, 0.84, 0.63, 0.32, 0.62, 0.66, 0.19, 0.46, 0.78, 0.52}",-0.0907,0.1446,False
91,{1.0},"{0.6, 0.84, 0.63, 0.32, 0.62, 0.66, 0.2, 0.46, 0.78, 0.52}",-0.0895,0.1446,False
92,{1.0},"{0.6, 0.84, 0.63, 0.32, 0.62, 0.66, 0.3, 0.46, 0.78, 0.52}",-0.0373,0.1446,False
93,{1.0},"{0.6, 0.84, 0.63, 0.62, 0.4, 0.66, 0.46, 0.78, 0.52}",0.0223,0.1446,False
94,{1.0},"{0.6, 0.84, 0.63, 0.5, 0.62, 0.66, 0.78, 0.52}",0.0852,0.1446,False
95,{1.0},"{0.6, 0.84, 0.63, 0.66, 0.62, 0.78}",0.1423,0.1446,False
96,{1.0},"{0.7, 0.84, 0.78}",0.1883,0.1446,True
97,{1.0},"{0.8, 0.84}",0.2397,0.1446,True
98,{1.0},{0.9},0.2782,0.1446,True
99,{1.0},{1.0},0.3239,0.1446,True
